video_id,title,published_at,duration,view_count,like_count,comment_count
9fv4JDIzOUQ,Le secret du succès de Squeezie,2025-09-29T17:00:13Z,PT40S,130641,4233,18
5sAJR0I1Rpg,Ils ont trouvé la meilleure technique,2025-09-29T10:00:10Z,PT1M28S,156704,6100,32
8Y-sDly6VbE,Freddy pète un câble en plein tournage,2025-09-28T17:00:12Z,PT1M30S,454890,13363,38
sw5eCcBnZhQ,Freddy traumatise des enfants ? 😦,2025-09-28T11:36:19Z,PT1M45S,1401553,45752,284
lQ53145a3cY,"Qui subira la pire épreuve ? (ft Mister V, Freddy Gladieux, Théo Juice)",2025-09-27T16:07:27Z,PT51M45S,7834559,405538,3136
8MAykTq8eNI,Ces 10 youtubeurs s'affrontent pour 100 000 €,2025-09-16T17:00:15Z,PT1M40S,65175,3072,26
hRY8MX7URKk,"0,27% de chance, Maghla est maudite 😳",2025-09-15T17:00:58Z,PT1M43S,208515,10607,54
4w8LfuweNw4,Mastu et Michou se battent dans la vidéo de Squeezie😱,2025-09-14T10:00:16Z,PT1M4S,287001,13892,101
fiqxEb_URX0,QUI RÉUSSIRA À STOPPER LE TRAIN ? (FEAT 10 YOUTUBEURS),2025-09-13T15:20:07Z,PT1H39M31S,12312486,788095,17886
xchP3phTH78,Squeezie se fait attaquer par des chiens😱,2025-07-23T17:01:31Z,PT1M8S,878213,33148,72
2d2caWdw0CY,Essayez de ne pas rire,2025-07-21T17:47:20Z,PT1M13S,623176,20689,48
haBN5Q8GZRo,Ils doivent éviter les lassos dans cette épreuve !,2025-07-20T13:41:19Z,PT1M20S,307334,13790,90
HdjS1tAWsXw,"Qui subira la pire épreuve ? (ft Joyca, Djilsi, Theodort)",2025-07-20T10:00:33Z,PT51M19S,10603561,525536,6559
hV_2UC_6bTU,Ce milliardaire a tout perdu à cause d’un caprice...,2025-07-13T17:11:05Z,PT27M17S,5374086,254601,5733
Fb1Z3cMAlrc,Il organisait des jeux macabres avec ses victimes...,2025-06-29T17:11:34Z,PT32M3S,7474701,343394,4969
NW7MewxiPFM,Mister V détruit la boisson de Squeezie,2025-06-15T16:24:09Z,PT1M9S,1387627,43696,302
LxLvpfKZqVg,Squeezie a fabriqué le plus grand pétard du monde😱,2025-06-15T16:23:59Z,PT1M26S,106595,6257,48
6ElgJ13rygk,Squeezie offre un record du monde à Mister V,2025-06-15T16:23:48Z,PT1M15S,687359,21357,71
JW-gg1X17zQ,"J'ai fait fabriquer des objets GÉANTS et EXTRÊMES (ft Mister V, Freddy Gladieux & Theo Juice)",2025-06-15T16:21:01Z,PT33M49S,7251831,387457,4855
-CE3NR0szlE,Squeezie dénonce la trahison de Amine envers Billy,2025-06-12T17:00:01Z,PT1M9S,125750,4072,25
ry-6yEsfWx4,Des voyantes prédisent l’avenir de Inoxtag et Squeezie,2025-06-11T17:01:10Z,PT1M4S,102126,3381,28
uZH_Qm1b9GQ,Qui est le plus s*xy ?,2025-06-10T17:01:09Z,PT1M28S,127887,3998,38
VmhAcX6zXz4,Squeezie et Inox présidents ?,2025-06-09T15:07:49Z,PT1M3S,109453,4277,21
U2h0hLJ5ZkQ,"Des inconnus nous jugent... #4 (ft Inoxtag, Amine, Pokimane & Tatiana)",2025-06-08T16:02:44Z,PT49M36S,9575917,407521,5180
CFBjZfdWt64,Gotaga connait Squeezie par coeur😂,2025-05-28T16:00:32Z,PT1M8S,131284,4401,24
HsfuV0VI_9o,Qui a ch*é dans le lavabo au GP Explorer 2 ?,2025-05-24T17:57:55Z,PT1M2S,2117769,61367,218
LMKKDfPn9y4,Djilsi et Maxime n’arrivent pas à rester calmes😂,2025-05-21T19:40:40Z,PT1M4S,475659,18936,88
OEyPswn3b8w,Squeezie et Gotaga se hurlent dessus à cause d'une question😭,2025-05-18T17:15:50Z,PT1M8S,414172,11485,32
p5LrBA_YYwI,"Le pire duo va en prison #5 (ft Djilsi, Maxime Biaggi, Gotaga)",2025-05-18T16:37:07Z,PT49M54S,9984757,381543,3272
xMWe3ZEqVSU,Squeezie et SDM vannent un vrai chirurgien,2025-05-09T06:00:47Z,PT49S,723008,22471,50
-vg0Xd5U0mM,Squeezie est CHOQUÉ par son explication 😱,2025-05-08T16:00:01Z,PT1M2S,484413,22045,119
